app_id,app_type,developer,publisher,supported_systems,release_date,rating_percent,reviews_count,tags,categories,hardware_categories,accessibility_categories,price_usd_current,price_usd_lowest,price_eur_current,price_eur_lowest,price_cis_current,price_cis_lowest
996470,Game,Konami Digital Entertainment,Konami Digital Entertainment,Windows,10 September 2019 – 17:00:00 UTC,70.29,26185,Sports | Football (Soccer) | Multiplayer | Free to Play | Football (American) | Singleplayer | Simulation | Online Co-Op | Realistic | Local Multiplayer | Controller | Open World | Co-op,Single-player | Online PvP | Shared/Split Screen PvP | Online Co-op | Shared/Split Screen Co-op | In-App Purchases | Family Sharing | Multi-player | Co-op | PvP,Partial Controller Support,,N/A,-50%$14.99,N/A,"-50%12,49€",N/A,-50%$12.49
337000,Game,Eidos Montreal | Feral Interactive (Linux/Mac),Eidos Interactive Corp. | Feral Interactive (Linux/Mac),Windows | Linux,23 August 2016 – 16:00:00 UTC,75.19,41553,Cyberpunk | Stealth | RPG | Sci-fi | Story Rich | Action | Atmospheric | Singleplayer | Immersive Sim | First-Person | Futuristic | Illuminati | FPS | Great Soundtrack | Open World | Shooter | Conspiracy | Dystopian | Transhumanism | Adventure,Single-player | Steam Achievements | Steam Trading Cards | Steam Cloud | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),Full Controller Support | DualShock Controllers (USB Only) | DualSense Controllers (USB Only),Subtitle Options | Camera Comfort | Custom Volume Controls | Stereo Sound | Surround Sound | Playable without Timed Input | Adjustable Difficulty | Save Anytime,$29.99,-85%$4.49,"29,99€","-85%4,49€",$17.49,-85%$2.09
323470,Game,DIMPS,BANDAI NAMCO Entertainment,Windows,26 February 2015 – 23:00:00 UTC,87.87,21523,Anime | Fighting | Action | Multiplayer | Character Customization | Co-op | Adventure | Singleplayer | RPG | Online Co-Op | Third Person | Fantasy | Dragons | Beat 'em up | Controller | Open World | Action RPG | Funny | Fast-Paced | Local Co-Op,Single-player | Steam Achievements | Steam Trading Cards | Steam Cloud | Steam Leaderboards | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | Family Sharing | Multi-player | Co-op,Partial Controller Support,,$39.99,-90%$3.99,"39,99€","-90%3,99€",$19.99,-90%$1.99
1416920,Game,648工作室,Wise Games,Windows,19 July 2024 – 06:07:06 UTC,83.59,10237,CRPG | Action Roguelike | 2D Platformer | Roguelite | 3D Platformer | Life Sim | Party-Based RPG | Action RPG | Action-Adventure | Roguelike | RPG | Character Customization | 2D | 3D | Dark Humor | Third Person | Multiple Endings | Story Rich | Casual | Linear,Single-player | Steam Achievements | Steam Cloud | Family Sharing,,,-10%$8.99,-30%$6.99,"-10%8,77€","-30%6,82€",-10%$5.66,-30%$4.40
597820,Game,Experiment 101,THQ Nordic,Windows,25 May 2021 – 17:00:00 UTC,65.3,19848,Open World | Action | Singleplayer | RPG | Adventure | Character Customization | Third Person | Post-apocalyptic | Hack and Slash | Fantasy | Atmospheric | Exploration | Action RPG | Martial Arts | Multiplayer | Cute | Story Rich | Sci-fi | Indie | Crafting,Single-player | Steam Achievements | Steam Trading Cards | Steam Cloud | Remote Play on Tablet | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),Full Controller Support,,-75%$9.99,-75%$9.99,"-75%9,99€","-75%9,99€",-75%$4.99,-75%$4.99
979690,Game,Neon Giant,Curve Games,Windows,29 July 2021 – 17:00:00 UTC,72.68,24033,Top-Down Shooter | Cyberpunk | RPG | Action | Co-op | Shooter | Open World | Indie | Isometric | Adventure | Twin Stick Shooter | Action RPG | Violent | Dystopian | Gore | Futuristic | Character Customization | Local Co-Op | Split Screen | PvE,Single-player | Online Co-op | Shared/Split Screen Co-op | Steam Achievements | Steam Cloud | Remote Play Together | Family Sharing | Multi-player | Co-op | Shared/Split Screen | Cloud Gaming | Cloud Gaming (NVIDIA),Full Controller Support | DualShock Controllers (USB Only),Subtitle Options | Color Alternatives | Camera Comfort | Custom Volume Controls | Playable without Timed Input | Adjustable Difficulty | Save Anytime,$29.99,-80%$5.99,"29,99€","-80%5,99€",$19.99,-80%$3.99
99900,Game,Grey Havens,Grey Havens,Windows,14 June 2011 – 16:30:00 UTC,81.99,23875,Free to Play | Massively Multiplayer | RPG | Adventure | Action | Multiplayer | Online Co-Op | Dungeon Crawler | Hack and Slash | Co-op | MMORPG | Cute | Great Soundtrack | Action RPG | Sci-fi | Open World | Casual | Singleplayer | Indie | Anime,Single-player | MMO | Steam Achievements | Steam Trading Cards | In-App Purchases | Includes level editor | Multi-player | Co-op,Partial Controller Support,,,,,,,
1672500,Game,"CRAFTS & MEISTER Co., Ltd.",Bandai Namco Entertainment Inc.,Windows,28 August 2024 – 22:02:37 UTC,71.69,4028,Action | Robots | Hack and Slash | Mechs | RPG | Action RPG | Co-op | 3D | Anime | Character Customization | Multiplayer | Singleplayer,Single-player | Online Co-op | Steam Achievements | Steam Cloud | Family Sharing | Multi-player | Co-op,Full Controller Support | DualShock Controllers (USB Only) | DualShock Controllers | DualSense Controllers (USB Only) | DualSense Controllers,,$59.99,-50%$29.99,"59,99€","-50%29,99€",$39.99,-50%$19.99
3358510,Game,滑稽工作室,滑稽工作室,Windows,1 January 2025 – 01:00:33 UTC,44.41,2803,Adventure | Loot | RPG | Action RPG | Linear | Turn-Based Strategy | Strategy | Pixel Graphics | Character Customization | Strategy RPG | Roguelike | 2D Platformer | Roguelite | 2D | Cute | Medieval | Fantasy | Story Rich | Turn-Based Combat | Singleplayer,Single-player | Steam Achievements | Captions available | Family Sharing,Full Controller Support | DualShock Controllers (USB Only) | DualShock Controllers | DualSense Controllers (USB Only) | DualSense Controllers | Gamepad Preferred,,$9.99,-30%$6.99,"9,75€","-30%6,82€",$6.29,-30%$4.40
8710,Tool,,,,,,,,,,,,,,,,
