name,developer,publisher,release_date,tags,categories,rating_percent,reviews_count,price,current_players,24h_peak,all_time_peak
Counter-Strike 2,Valve,Valve,21.08.2012,FPS | Shooter | Multiplayer | Competitive | Action | Team-Based | eSports | Tactical | First-Person | PvP | Online Co-Op | Co-op | Strategy | Military | War | Difficult | Trading | Realistic | Fast-Paced | Moddable,Cross-Platform Multiplayer | Steam Trading Cards | Steam Workshop | In-App Purchases | Stats | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | Steam Timeline | Multi-player | Valve Anti-Cheat | Cloud Gaming | Cloud Gaming (NVIDIA),86.04,9357964.0,5.39,664902,1427869,1862531
Dota 2,Valve,Valve,09.07.2013,Free to Play | MOBA | Multiplayer | Strategy | eSports | Team-Based | Competitive | Action | Online Co-Op | PvP | Difficult | Co-op | RTS | Tower Defense | RPG | Fantasy | Character Customization | Replay Value | Action RPG | Simulation,Steam Trading Cards | Steam Workshop | SteamVR Collectibles | In-App Purchases | Steam Timeline | Multi-player | Co-op | Valve Anti-Cheat | Cloud Gaming | Cloud Gaming (NVIDIA),80.84,2661061.0,0.0,474492,788137,1295114
ARC Raiders,Embark Studios,Embark Studios,30.10.2025,Extraction Shooter | Multiplayer | PvP | PvE | Third-Person Shooter | Post-apocalyptic | Online Co-Op | Shooter | Survival | Sci-fi | Atmospheric | Third Person | Crafting | Inventory Management | Action | Open World | Combat | Futuristic | Character Customization | Realistic,Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | In-App Purchases | Stats | Family Sharing | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA) | PvP,86.55,327579.0,31.99,224842,273369,481966
Bongo Cat,Marcel Zurawka | Julius Krüger,Irox Games,05.03.2025,Cats | Free to Play | Clicker | Cute | Casual | Idler | Typing | 2D | Singleplayer | Cartoony | Relaxing | Indie | Software | Simulation | Character Customization | Colorful | Funny | Massively Multiplayer | Co-op | Multiplayer,Single-player | Online Co-op | Steam Achievements | Stats | Multi-player | Co-op,96.14,88407.0,0.0,135441,165340,194508
Marvel Rivals,NetEase Games,NetEase Games,06.12.2024,Free to Play | Multiplayer | Hero Shooter | Third-Person Shooter | Superhero | PvP | Action | Team-Based | Competitive | Shooter | Sexual Content | 3D | Strategy | Online Co-Op | Third Person | Co-op | Sci-fi | FPS | MOBA | Psychological Horror,Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | In-App Purchases | Multi-player | Co-op | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),76.79,364944.0,0.0,130344,136470,644269
Terraria,Re-Logic,Re-Logic,16.05.2011,Open World Survival Craft | Sandbox | Survival | 2D | Multiplayer | Pixel Graphics | Adventure | Crafting | Building | Exploration | Co-op | Open World | Online Co-Op | Indie | Action | RPG | Singleplayer | Replay Value | Platformer | Atmospheric,Single-player | Online PvP | Online Co-op | Steam Achievements | Steam Trading Cards | Steam Cloud | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | Family Sharing | Multi-player | Co-op | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),96.76,1486528.0,4.99,129857,178742,489886
PUBG: BATTLEGROUNDS,PUBG Corporation,"KRAFTON, Inc.",21.12.2017,Survival | Shooter | Battle Royale | Multiplayer | FPS | PvP | Third-Person Shooter | Action | Online Co-Op | Tactical | Co-op | First-Person | Strategy | Early Access | Competitive | Third Person | Team-Based | Difficult | Simulation | Stealth,Online PvP | Stats | Remote Play on Phone | Remote Play on Tablet | Multi-player | PvP,59.92,2668682.0,14.99,123218,606108,3257248
Deadlock,Valve,Valve,,MOBA | Third-Person Shooter | Multiplayer | Team-Based | Hero Shooter | Competitive | Shooter | Third Person | Action | Early Access | Free to Play | PvP | Online Co-Op | Strategy | Tactical | Co-op | Funny | Sexual Content | Mature | Cute,Multi-player,,,0.0,91241,117346,171490
Rust,Facepunch Studios,Facepunch Studios,08.02.2018,Survival | Crafting | Multiplayer | Open World | Open World Survival Craft | Building | PvP | Sandbox | Adventure | First-Person | Action | Nudity | FPS | Shooter | Co-op | Online Co-Op | Indie | Post-apocalyptic | Early Access | Simulation,MMO | Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Steam Workshop | In-App Purchases | Stats | Remote Play on Tablet | Multi-player | Valve Anti-Cheat | Co-op | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),86.53,1320929.0,8.74,64097,140165,262284
Warframe,Digital Extremes,Digital Extremes,25.03.2013,Free to Play | Looter Shooter | Action RPG | Third-Person Shooter | Action | RPG | Third Person | Character Customization | Massively Multiplayer | Online Co-Op | Co-op | PvE | Sci-fi | Singleplayer | Space | Lore-Rich | Shooter | Hack and Slash | Parkour | Ninja,Single-player | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Steam Workshop | In-App Purchases | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | HDR Supported | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),86.57,656158.0,0.0,59484,75735,189837
Stardew Valley,ConcernedApe,ConcernedApe,26.02.2016,Farming Sim | Pixel Graphics | Multiplayer | Life Sim | RPG | Relaxing | Simulation | Agriculture | Crafting | Indie | Sandbox | Building | Casual | Open World | Singleplayer | 2D | Dating Sim | Cute | Great Soundtrack | Fishing,Single-player | Online Co-op | LAN Co-op | Shared/Split Screen Co-op | Steam Achievements | Steam Trading Cards | Steam Cloud | Remote Play on Phone | Remote Play on Tablet | Remote Play Together | Family Sharing | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA) | Shared/Split Screen,97.7,974066.0,7.49,59064,98968,236614
Baldur's Gate 3,Larian Studios,Larian Studios,03.08.2023,RPG | Character Customization | Choices Matter | Dungeons & Dragons | Turn-Based Combat | Story Rich | Sexual Content | CRPG | Fantasy | Adventure | Romance | Online Co-Op | Multiplayer | Strategy | Singleplayer | Nudity | Co-op Campaign | Class-Based | Dark Fantasy | Combat,Single-player | Online Co-op | LAN Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Steam Cloud | Remote Play on TV | Remote Play Together | Family Sharing | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),96.04,821969.0,44.99,57624,71536,875343
Delta Force,Team Jade,TiMi Studio Group,04.12.2024,Free to Play | FPS | Extraction Shooter | Multiplayer | Shooter | Action | Massively Multiplayer | Co-op | PvP | Gun Customization | Singleplayer | First-Person | Team-Based | Looter Shooter | PvE | Online Co-Op | Tactical | Military | Hero Shooter | Co-op Campaign,Single-player | MMO | Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | In-App Purchases | Multi-player | PvP | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),58.29,170494.0,0.0,54664,156781,247028
Apex Legends,Respawn,Electronic Arts,05.11.2020,Free to Play | Multiplayer | Battle Royale | FPS | Shooter | First-Person | PvP | Action | Hero Shooter | Team-Based | Tactical | Sci-fi | Survival | Co-op | Loot | Character Customization | Funny | Cyberpunk | Lore-Rich | Cinematic,Online PvP | Online Co-op | Steam Achievements | Steam Trading Cards | In-App Purchases | Multi-player | Co-op | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),67.2,1029970.0,0.0,54260,158268,624473
Tom Clancy's Rainbow Six® Siege X,Ubisoft Montreal,Ubisoft,01.12.2015,FPS | PvP | Multiplayer | Shooter | Tactical | eSports | Competitive | Online Co-Op | Action | Hero Shooter | Team-Based | Military | Strategy | First-Person | Co-op | Realistic | Destruction | War | Difficult | 3D,Single-player | Online PvP | Online Co-op | Steam Trading Cards | In-App Purchases | Remote Play on Phone | Remote Play on Tablet | Multi-player | Co-op | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),82.2,1477512.0,3.99,53351,61639,201933
Dead by Daylight,Behaviour Interactive Inc.,Behaviour Interactive Inc.,14.06.2016,Horror | Multiplayer | Survival Horror | Online Co-Op | Co-op | Survival | Gore | Team-Based | Blood | Third Person | Stealth | Violent | First-Person | Psychological Horror | Action | Atmospheric | Strategy | Comedy | Mature | Difficult,Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Steam Cloud | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | Family Sharing | Multi-player | Co-op | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),78.13,875563.0,6.99,50577,72597,120717
Grand Theft Auto V Enhanced,Rockstar North,Rockstar Games,04.03.2025,Open World | Action | Sexual Content | Multiplayer | Crime | Mature | Shooter | Third Person | First-Person | Adventure | Automobile Sim | Racing | Third-Person Shooter | Sandbox | Funny | Atmospheric | Comedy | Moddable | PvP | Co-op,Single-player | Online PvP | Online Co-op | Steam Achievements | In-App Purchases | Remote Play on Phone | Remote Play on Tablet | PvP | Co-op | Multi-player,79.47,151042.0,14.99,49640,87113,187059
Team Fortress 2,Valve,Valve,10.10.2007,Free to Play | Hero Shooter | Multiplayer | FPS | Shooter | Action | Class-Based | Team-Based | Funny | First-Person | Online Co-Op | Competitive | Cartoony | Trading | Co-op | Comedy | Robots | Tactical | Cartoon | Crafting,Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Captions available | Steam Workshop | In-App Purchases | Stats | Includes level editor | Commentary available | Remote Play on Phone | Remote Play on Tablet | Valve Anti-Cheat | HDR rendering | Multi-player | Cloud Gaming | Cloud Gaming (NVIDIA),90.13,1214155.0,0.0,46718,55547,253997
Geometry Dash,RobTop Games,RobTop Games,22.12.2014,Difficult | Music | Level Editor | Great Soundtrack | Precision Platformer | 2D | Rhythm | Singleplayer | Platformer | Colorful | Character Customization | Indie | Side Scroller | Arcade | Family Friendly | Psychological Horror | Action | Funny | Casual | Strategy,Single-player | Steam Achievements | Steam Trading Cards | Includes level editor | Remote Play on Phone | Remote Play on Tablet | Family Sharing,92.25,529316.0,0.99,46352,72776,106251
VRChat,VRChat Inc.,VRChat Inc.,01.02.2017,VR | Free to Play | Multiplayer | Anime | Memes | Funny | Massively Multiplayer | First-Person | Open World | Early Access | Simulation | Casual | Adventure | MMORPG | Comedy | Sandbox | Dating Sim | Survival Horror | Action | Atmospheric,MMO | Online PvP | Online Co-op | Cross-Platform Multiplayer | In-App Purchases | Early Access | Multi-player | Co-op | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),74.77,255958.0,0.0,44064,49703,73791
HELLDIVERS™ 2,Arrowhead Game Studios,PlayStation Publishing LLC,08.02.2024,Online Co-Op | PvE | Third-Person Shooter | Multiplayer | Action | Shooter | Co-op | Sci-fi | Extraction Shooter | Capitalism | Space | Third Person | Comedy | Gore | Great Soundtrack | Violent | Difficult | Psychological Horror | Singleplayer | Open World,Online Co-op | Steam Achievements | In-App Purchases | Family Sharing | Multi-player | Co-op,76.74,1096355.0,31.99,42926,44630,458709
Grand Theft Auto V Legacy,Rockstar North,Rockstar Games,13.04.2015,Open World | Action | Multiplayer | Crime | Automobile Sim | Third Person | First-Person | Mature | Shooter | Adventure | Singleplayer | Third-Person Shooter | Racing | Co-op | Sandbox | Atmospheric | Funny | Great Soundtrack | Comedy | Moddable,Single-player | Online PvP | Online Co-op | Steam Achievements | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | Multi-player | PvP | Co-op,87.05,2042180.0,9.24,41835,111895,364548
War Thunder,Gaijin Entertainment,Gaijin Network Ltd,15.08.2013,Free to Play | Simulation | Vehicular Combat | Combat | Flight | World War II | VR | War | Military | Tanks | Multiplayer | Naval Combat | Massively Multiplayer | Modern | Cold War | Shooter | Realistic | Action | Third Person | Third-Person Shooter,Single-player | MMO | Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | In-App Purchases | Remote Play on Phone | Remote Play on Tablet | Co-op | HDR rendering | Multi-player | Cloud Gaming | Cloud Gaming (NVIDIA) | PvP,64.58,838924.0,0.0,40560,83725,121318
Battlefield™ 6,Battlefield Studios,Electronic Arts,10.10.2025,FPS | Multiplayer | Action | Military | Singleplayer | Shooter | War | Modern | Combat | Epic | Realistic | Tactical | Battle Royale | Destruction | PvP | Artificial Intelligence | Violent | Atmospheric | Co-op | Sandbox,Single-player | Online PvP | Cross-Platform Multiplayer | Steam Achievements | In-App Purchases | Steam Cloud | HDR Supported | Multi-player | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),67.09,313248.0,48.99,40358,59303,747440
Overwatch® 2,"Blizzard Entertainment, Inc.","Blizzard Entertainment, Inc.",10.08.2023,Free to Play | Hero Shooter | FPS | Multiplayer | Team-Based | MOBA | Third-Person Shooter | First-Person | Third Person | PvP | Competitive | Shooter | Action | Co-op | Sci-fi | Online Co-Op | PvE | Casual | Cinematic | Lore-Rich,Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | In-App Purchases | Multi-player | PvP | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),26.98,369375.0,0.0,35254,37149,75608
Heartopia,XD,XD,17.01.2026,Casual | Life Sim | Free to Play | Multiplayer | Cute | Artificial Intelligence | City Builder | Immersive Sim | Simulation | Relaxing | 3D Platformer | Cartoony | Character Customization | Third Person | Realistic | Funny | Nature | Atmospheric | Singleplayer | Story Rich,Single-player | Cross-Platform Multiplayer | In-App Purchases | Multi-player,70.02,5826.0,0.0,35113,56241,64170
Red Dead Redemption 2,Rockstar Games,Rockstar Games,05.12.2019,Open World | Story Rich | Western | Multiplayer | Adventure | Action | Realistic | Singleplayer | Shooter | Horses | Beautiful | Atmospheric | Mature | Third-Person Shooter | Great Soundtrack | Third Person | Gore | Sandbox | First-Person | FPS,Single-player | Online PvP | Online Co-op | Steam Achievements | In-App Purchases | Remote Play on Phone | Remote Play on Tablet | Multi-player | PvP | Co-op,91.47,839140.0,14.99,35047,52267,99993
Fallout 4,Bethesda Game Studios,Bethesda Softworks,10.11.2015,Open World | Post-apocalyptic | Singleplayer | Exploration | RPG | Adventure | Atmospheric | Shooter | First-Person | Story Rich | Action | Sci-fi | FPS | Sandbox | Action RPG | Great Soundtrack | Survival | Third Person | Third-Person Shooter | Character Customization,Single-player | Steam Achievements | Steam Cloud | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),80.43,417497.0,4.99,34405,44227,472962
Call of Duty®,Treyarch | Raven Software | Beenox | High Moon Studios | Sledgehammer Games | Infinity Ward | Activision Shanghai | Demonware,Activision,28.10.2022,FPS | Multiplayer | Shooter | Singleplayer | Action | Military | First-Person | War | Modern | Tactical | Violent | Co-op | Realistic | Story Rich | Atmospheric | Mature | Online Co-Op | Gore | Third Person | Third-Person Shooter,Single-player | Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | Captions available | In-App Purchases | HDR Supported | Multi-player | PvP | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),58.4,760840.0,38.49,33482,39335,491670
Palworld,Pocketpair,Pocketpair,19.01.2024,Open World | Survival | Multiplayer | Creature Collector | Open World Survival Craft | Online Co-Op | Crafting | PvP | Co-op | Indie | Adventure | Base Building | Sandbox | Building | Automation | Third-Person Shooter | RPG | Action | Exploration | Early Access,Single-player | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Steam Workshop | Steam Cloud | Family Sharing | Early Access | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),93.32,412899.0,22.49,30813,48953,2101867
tModLoader,TML Team,Re-Logic | TML Team,16.05.2020,Adventure | Free to Play | Action | Indie | RPG | Mod | Sandbox | Moddable | Multiplayer | 2D | Pixel Graphics | Building | Survival | Online Co-Op | Singleplayer | Co-op | Replay Value | Great Soundtrack | Difficult | Open World Survival Craft,Single-player | Online PvP | Online Co-op | Steam Workshop | Steam Cloud | Multi-player | Co-op | PvP,96.13,352793.0,0.0,29604,44004,56583
EA SPORTS FC™ 26,EA Canada | EA Romania,Electronic Arts,25.09.2025,Football (Soccer) | Sports | Simulation | Multiplayer | Singleplayer | Controller | Competitive | Local Co-Op | Realistic | Online Co-Op | PvP | Local Multiplayer | Family Friendly | eSports | Modern | Co-op | Open World | LGBTQ+,Single-player | Online PvP | Shared/Split Screen PvP | Online Co-op | Shared/Split Screen Co-op | Cross-Platform Multiplayer | Steam Achievements | In-App Purchases | HDR Supported | Multi-player | PvP | Co-op | Shared/Split Screen,44.65,43910.0,27.0,29392,71355,100753
No Rest for the Wicked,Moon Studios GmbH,Moon Studios GmbH,18.04.2024,Souls-like | Online Co-Op | Action RPG | Open World | Combat | Hack and Slash | Exploration | Cinematic | RPG | Character Customization | Colorful | Isometric | Controller | Immersive Sim | 3D | Action | Dark Fantasy | Stylized | Atmospheric | Gothic,Single-player | Online Co-op | Steam Cloud | HDR Supported | Family Sharing | Early Access | Cloud Gaming | Cloud Gaming (NVIDIA) | Multi-player | Co-op,78.42,66999.0,23.99,28967,38042,62997
Banana,Sky | AestheticSpartan | O'Brian,Sky,23.04.2024,Free to Play | Clicker | Singleplayer | 2D | Casual | Family Friendly | Idler | Funny | Simulation | Colorful | Arcade | Hidden Object | Fantasy | Pixel Graphics | Mystery | Dating Sim | First-Person | Crafting | Anime | Open World,Single-player | Steam Achievements | Steam Trading Cards | Steam Workshop | In-App Purchases | Steam Cloud | Steam China Workshop,80.9,95103.0,0.0,28687,33594,917272
Left 4 Dead 2,Valve,Valve,17.11.2009,Zombies | Co-op | FPS | Multiplayer | Shooter | Online Co-Op | Action | Survival | Horror | First-Person | Gore | Team-Based | Moddable | Survival Horror | Post-apocalyptic | Singleplayer | Adventure | Local Co-Op | Replay Value | Tactical,Single-player | Online PvP | Online Co-op | Steam Achievements | Steam Trading Cards | Captions available | Steam Workshop | Steam Cloud | Stats | Includes Source SDK | Commentary available | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | Remote Play Together | Family Sharing | Steam Timeline | Co-op | Multi-player | HDR rendering | Valve Anti-Cheat | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),96.79,1014759.0,0.99,28468,30037,162399
Project Zomboid,The Indie Stone,The Indie Stone,08.11.2013,Survival | Zombies | Open World | Multiplayer | Open World Survival Craft | Sandbox | Post-apocalyptic | Co-op | Crafting | Building | Indie | Simulation | RPG | Survival Horror | Realistic | Isometric | Singleplayer | 2D | Adventure | Early Access,Single-player | Online PvP | Online Co-op | Shared/Split Screen Co-op | Cross-Platform Multiplayer | Steam Trading Cards | Steam Workshop | Remote Play Together | Family Sharing | Early Access | Multi-player | Co-op | Shared/Split Screen | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),93.29,429970.0,8.99,26914,34849,65505
Where Winds Meet,Everstone Studio,NetEase Games,14.11.2025,Open World | Free to Play | Multiplayer | Souls-like | Action RPG | Online Co-Op | Action | Adventure | MMORPG | Story Rich | RPG | Singleplayer | Martial Arts | Action-Adventure | 3D | PvP | PvE | Historical | Atmospheric | Alternate History,Single-player | Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | In-App Purchases | Multi-player | PvP | Co-op,86.55,100062.0,0.0,26266,56802,251008
DayZ,Bohemia Interactive,Bohemia Interactive,13.12.2018,Survival | Open World | Zombies | Online Co-Op | Multiplayer | Post-apocalyptic | Shooter | PvP | Massively Multiplayer | FPS | Action | Sandbox | Horror | Survival Horror | Co-op | Adventure | First-Person | Simulation | Atmospheric | Choose Your Own Adventure,MMO | Online PvP | Online Co-op | Steam Achievements | Steam Trading Cards | Steam Workshop | Steam Cloud | Multi-player | Valve Anti-Cheat | PvP | Cloud Gaming | Cloud Gaming (NVIDIA) | Co-op,76.89,451897.0,22.49,26264,56167,78937
ELDEN RING,"FromSoftware, Inc.","FromSoftware, Inc. | Bandai Namco Entertainment",24.02.2022,Souls-like | Open World | Dark Fantasy | RPG | Difficult | Action RPG | Multiplayer | Third Person | Fantasy | Singleplayer | Online Co-Op | Action | Co-op | Atmospheric | Great Soundtrack | PvP | Violent | 3D | Character Customization | Family Friendly,Single-player | Online PvP | Online Co-op | Steam Achievements | Steam Trading Cards | Steam Cloud | Family Sharing | Multi-player | PvP | Co-op,92.35,1112708.0,35.99,26199,35439,953426
PAYDAY 2,OVERKILL - a Starbreeze Studio.,Starbreeze Entertainment,13.08.2013,Co-op | Action | FPS | Heist | Multiplayer | Looter Shooter | Online Co-Op | Stealth | Crime | Shooter | Team-Based | First-Person | Great Soundtrack | Gun Customization | Tactical | PvE | Strategy | Singleplayer | Funny | Simulation,Single-player | Online Co-op | Steam Achievements | Steam Trading Cards | In-App Purchases | Steam Cloud | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | Family Sharing | Co-op | Multi-player | Cloud Gaming | Cloud Gaming (NVIDIA),88.59,671074.0,0.99,26088,30029,247709
Sid Meier's Civilization VI,Firaxis Games | Aspyr (Mac) | Aspyr (Linux),2K | Aspyr (Mac) | Aspyr (Linux),21.10.2016,Strategy | Turn-Based Strategy | Multiplayer | Historical | Grand Strategy | Singleplayer | Turn-Based | 4X | City Builder | War | Simulation | Tactical | Management | Building | Online Co-Op | Moddable | Great Soundtrack | Co-op | Hex Grid | Atmospheric,Single-player | Online PvP | LAN PvP | Shared/Split Screen PvP | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Steam Workshop | In-App Purchases | Steam Turn Notifications | Remote Play on Tablet | Remote Play Together | Family Sharing | Multi-player | PvP | Shared/Split Screen | Cloud Gaming | Cloud Gaming (NVIDIA),85.15,368512.0,2.99,25419,37698,162657
The Sims™ 4,Maxis,Electronic Arts,18.06.2020,Life Sim | Free to Play | Character Customization | Building | Simulation | Romance | Singleplayer | Sandbox | Dating Sim | Casual | Relaxing | Realistic | Funny | Family Friendly | Cute | Immersive Sim | Fantasy | Adventure | Cartoony | Nudity,Single-player | Steam Trading Cards | Remote Play on Tablet,86.01,187713.0,0.0,25176,36101,96328
Spacewar,,Telltale Games,,,Remote Play Together,,,,24829,62345,138416
World of Warships,Wargaming Group Limited,Wargaming Group Limited,15.11.2017,Free to Play | Naval Combat | Action | Co-op | Tactical | Online Co-Op | Multiplayer | Naval | PvP | World War II | War | Military | Team-Based | Massively Multiplayer | PvE | Simulation | Shooter | Historical | Realistic | Third-Person Shooter,MMO | Online PvP | Online Co-op | Steam Achievements | Steam Trading Cards | In-App Purchases | Steam Cloud | Multi-player | Co-op | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),76.0,152622.0,0.0,24729,29479,411338
ELDEN RING NIGHTREIGN,"FromSoftware, Inc.","FromSoftware, Inc. | Bandai Namco Entertainment",29.05.2025,Souls-like | Online Co-Op | Multiplayer | Roguelike | Co-op | Singleplayer | PvE | Third Person | Action | Roguelite | Action RPG | Open World | RPG | Dark | 3D | Violent | Lore-Rich | Survival | Story Rich | Dating Sim,Single-player | Online Co-op | Steam Achievements | Steam Cloud | Family Sharing | Multi-player | Co-op,81.14,174084.0,29.99,24265,59020,313593
The Elder Scrolls V: Skyrim Special Edition,Bethesda Game Studios,Bethesda Softworks,28.10.2016,Open World | RPG | Adventure | Fantasy | Singleplayer | Character Customization | Moddable | Dragons | Story Rich | Magic | First-Person | Action | Atmospheric | Great Soundtrack | Third Person | Stealth | Classic | Remake | Female Protagonist | Walking Simulator,Single-player | Steam Achievements | Steam Cloud | Remote Play on Phone | Remote Play on Tablet | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),91.34,358343.0,3.99,23934,31323,69906
Cyberpunk 2077,CD PROJEKT RED,CD PROJEKT RED,10.12.2020,Cyberpunk | Open World | Nudity | RPG | Singleplayer | Story Rich | Mature | Sci-fi | FPS | Futuristic | First-Person | Atmospheric | Exploration | Action | Violent | Great Soundtrack | Action RPG | Adventure | Character Customization | Immersive Sim,Single-player | Steam Achievements | Steam Trading Cards | Steam Cloud | HDR Supported | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),85.05,922161.0,20.99,23927,31491,1054388
Hearts of Iron IV,Paradox Development Studio,Paradox Interactive,06.06.2016,Strategy | World War II | Grand Strategy | War | Historical | Military | Alternate History | Multiplayer | Simulation | Tactical | Singleplayer | Real-Time with Pause | RTS | Diplomacy | Sandbox | Co-op | Strategy RPG | Open World | Competitive | Action,Single-player | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Steam Workshop | Steam Cloud | Remote Play on Tablet | Family Sharing | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),88.12,369094.0,9.99,23863,43259,93196
RimWorld,Ludeon Studios,Ludeon Studios,17.10.2018,Colony Sim | Base Building | Survival | Strategy | Management | Sandbox | Singleplayer | Moddable | Simulation | Sci-fi | Story Rich | Replay Value | Open World | Procedural Generation | 2D | Indie | City Builder | Tactical RPG | Building | Atmospheric,Single-player | Steam Workshop | Steam Cloud | Remote Play on Tablet | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),96.73,232762.0,27.99,23124,30135,96040
R.E.P.O.,semiwork,semiwork,26.02.2025,Horror | Online Co-Op | Multiplayer | Comedy | Co-op | Physics | First-Person | 3D | Stealth | Survival | Robots | Action | Exploration | Procedural Generation | Funny | Action Roguelike | Post-apocalyptic | Perma Death | Sci-fi | Early Access,Single-player | Online Co-op | Steam Cloud | Family Sharing | Early Access | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),95.21,354092.0,6.49,22920,44896,271571
Limbus Company,ProjectMoon,ProjectMoon,26.02.2023,Story Rich | Lore-Rich | Free to Play | Turn-Based Combat | Turn-Based Tactics | Visual Novel | Singleplayer | RPG | Strategy | Great Soundtrack | Strategy RPG | Turn-Based Strategy | Anime | PvE | Dark Fantasy | 2D | Action | Sci-fi | Roguelite | Colorful,Single-player | In-App Purchases,85.75,92798.0,0.0,22863,30108,124574
7 Days to Die,The Fun Pimps,The Fun Pimps Entertainment LLC,25.07.2024,Survival | Zombies | Multiplayer | Open World | Open World Survival Craft | Base Building | Post-apocalyptic | Online Co-Op | Voxel | Building | Exploration | Sandbox | FPS | Simulation | Horror | Tower Defense | Character Customization | Action | Strategy | Procedural Generation,Single-player | Online PvP | LAN PvP | Online Co-op | LAN Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Includes level editor | Remote Play on Tablet | Remote Play on TV | Family Sharing | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA) | PvP,86.39,394174.0,5.99,22363,32693,125419
Rocket League,Psyonix LLC,Psyonix LLC,07.07.2015,Multiplayer | Football (Soccer) | Competitive | Sports | Racing | Team-Based | Online Co-Op | Football (American) | Fast-Paced | Co-op | Action | Funny | Great Soundtrack | Local Multiplayer | Split Screen | Local Co-Op | Singleplayer | 4️⃣ 4 Player Local | Casual | Indie,Single-player | Online PvP | Shared/Split Screen PvP | Online Co-op | Shared/Split Screen Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Steam Workshop | Steam Cloud | Stats | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | Remote Play Together | Family Sharing | Multi-player | Co-op | Shared/Split Screen | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),86.47,584692.0,9.99,22278,32121,147632
FINAL FANTASY XIV Online,Square Enix,Square Enix,18.02.2014,MMORPG | RPG | Massively Multiplayer | Character Customization | Fantasy | JRPG | Open World | Story Rich | Multiplayer | Magic | Adventure | Online Co-Op | Co-op | Third Person | Exploration | Action | Crafting | Atmospheric | Action RPG | Female Protagonist,Single-player | MMO | Online PvP | Online Co-op | Cross-Platform Multiplayer | Remote Play on Tablet | Family Sharing | Multi-player | Co-op | PvP,85.34,83414.0,9.99,22043,24298,95150
