name,developer,publisher,release_date,tags,categories,rating_percent,reviews_count,price,current_players,24h_peak,all_time_peak
Wolcen: Lords of Mayhem,WOLCEN Studio,WOLCEN Studio,13.02.2020,Action RPG | Hack and Slash | Isometric | Singleplayer | RPG | Loot | Action | Adventure | Indie | Character Customization | Dark Fantasy | Dungeon Crawler | Fantasy | Top-Down | Controller | Medieval | Difficult | Multiplayer | Co-op | Online Co-Op,Single-player | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),55.71,67873.0,2.69,21,57,127542
Artifact Classic,Valve,Valve,28.11.2018,Card Battler | Deckbuilding | Card Game | Trading Card Game | Strategy | Multiplayer | eSports | Tactical | Competitive | Turn-Based Strategy | Difficult | Fantasy | Singleplayer | Casual | Turn-Based | Great Soundtrack | Atmospheric | Magic | Funny | Violent,Single-player | Online PvP | Steam Cloud | Multi-player | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),47.19,24741.0,19.99,21,207,60646
Minimalism,PixelMouse,PixelMouse,08.02.2017,Indie | Casual | Action | Difficult | Platformer | Adventure | Minimalist | 2D | Singleplayer,Single-player | Steam Achievements | Steam Trading Cards | Family Sharing,65.59,3870.0,0.0,21,27,18698
天命奇御二 Fate Seeker II,JSL Entertainment,JSL Entertainment | Phoenix Game,22.11.2021,RPG | Martial Arts | Action RPG | Puzzle | Exploration | Open World | Hack and Slash | Singleplayer | Third Person | 3D | Drama | Lore-Rich | Investigation | Story Rich | Historical | Sexual Content | Dating Sim,Single-player | Steam Achievements | Steam Cloud | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),86.94,13718.0,9.04,21,52,15417
Idol Showdown,Besto Game Team,holo Indie,06.05.2023,2D Fighter | Anime | PvP | Action | Arcade | Fighting | 2D | Free to Play | Pixel Graphics | Multiplayer | Combat | Indie | Fantasy | Old School | 1990's | Singleplayer | Female Protagonist | Local Multiplayer | Cute | Psychological Horror,Single-player | Online PvP | Shared/Split Screen PvP | Steam Cloud | Multi-player | PvP | Shared/Split Screen,90.7,5763.0,0.0,21,36,10901
Bananametr,Banana Master,Banana Master,22.06.2024,Casual | Clicker | Point & Click | 2D | Cute | Colorful | Survival | Logic | Nature | Free to Play | Relaxing | Retro | Funny | Comedy | Singleplayer,Single-player | Steam Achievements | Stats | Steam Leaderboards | Profile Features Limited,,,0.0,21,78,15472
Metro 2033,4A Games,Deep Silver,16.03.2010,FPS | Post-apocalyptic | Action | Atmospheric | Horror | Singleplayer | Based On A Novel | Shooter | Story Rich | Immersive | First-Person | Sci-fi | Linear | Stealth | Adventure | Dark | Survival Horror | Survival | 3D | Gaming,Single-player | Steam Achievements | Steam Cloud | Remote Play on TV | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),90.83,33782.0,0.0,20,99,14743
Chivalry: Medieval Warfare,Torn Banner Studios,Torn Banner Studios,16.10.2012,Medieval | Multiplayer | Action | Gore | First-Person | Swordplay | Violent | PvP | Indie | Third Person | Competitive | Team-Based | Hack and Slash | Co-op | Historical | FPS | Class-Based | Atmospheric | Simulation | Difficult,Steam Achievements | Steam Trading Cards | Steam Workshop | Includes level editor | Remote Play on TV | Family Sharing | Multi-player | Valve Anti-Cheat | Cloud Gaming | Cloud Gaming (NVIDIA),81.39,65225.0,2.49,20,53,25145
Ultimate Epic Battle Simulator,Brilliant Game Studios,Brilliant Game Studios,01.06.2017,Simulation | Sandbox | War | Strategy | Action | Funny | Medieval | Violent | Singleplayer | Gore | Indie | Early Access | Fantasy | Zombies | Open World | Adventure | Survival | Memes | Third Person | Atmospheric,Single-player | Family Sharing,75.07,12191.0,0.0,20,31,10326
World War 3,New Generation Games,Wishlist Games,10.12.2022,Free to Play | FPS | Multiplayer | Realistic | Online Co-Op | Tactical | Military | PvP | Gun Customization | Shooter | Character Customization | Action | War | Modern | Team-Based | First-Person | Combat | Vehicular Combat | Physics | Atmospheric,Online PvP | Multi-player | PvP,53.74,54562.0,0.0,20,66,11792
